Algorithm,Grid Size,Path Complexity,Wall Density (Open Space Ratio),Number of Explored Nodes (Search Cost),Final Path Length,Execution Time (Seconds),Memory Usage (Bytes)
BFS,20,"(0, 224)",0.4533016061867935,915,76,1.3330039978027344,34032
DFS,20,"(0, 224)",0.4533016061867935,640,392,0.9195246696472168,36624
A star,20,"(0, 224)",0.4533016061867935,463,76,0.8037624359130859,34032
MDP Value Iteration,20,"(0, 224)",0.4533016061867935,76,77,0.296576977,3440
MDP Policy Iteration,20,"(0, 224)",0.4533016061867935,76,77,1.0028531551361084,3440
BFS,10,"(0, 53)",0.4807256235827664,227,36,0.2285735607147216,9008
DFS,10,"(0, 53)",0.4807256235827664,176,104,0.1604905128479004,9552
A star,10,"(0, 53)",0.4807256235827664,140,36,0.2236731052398681,9008
MDP Value Iteration,10,"(0, 53)",0.4807256235827664,36,37,0.069787264,2864
MDP Policy Iteration,10,"(0, 53)",0.4807256235827664,36,37,0.4057166576385498,2864
BFS,30,"(0, 485)",0.443966676,2069,120,5.113547801971436,132912
DFS,30,"(0, 485)",0.443966676,1843,908,3.878271341323853,139664
A star,30,"(0, 485)",0.443966676,1266,120,3.393991470336914,132912
MDP Value Iteration,30,"(0, 485)",0.443966676,120,121,0.8065121173858643,10032
MDP Policy Iteration,30,"(0, 485)",0.443966676,120,121,1.973792076,10032
BFS,50,"(0, 1375)",0.4364278011959612,5748,196,31.748164415359497,527024
MDP Value Iteration,50,"(0, 1375)",0.4364278011959612,196,197,3.579582929611206,10928
A star,50,"(0, 1375)",0.4364278011959612,1533,196,8.908147573,133808
DFS,50,"(0, 1375)",0.4364278011959612,5301,2300,28.19445371627808,545904
MDP Value Iteration,75,"(0, 3076)",0.4326564624358581,296,297,10.980902910232544,12192
A star,75,"(0, 3076)",0.4326564624358581,3214,296,44.305129051208496,135072
DFS,75,"(0, 3076)",0.4326564624358581,10183,5180,120.89765691757202,567648
BFS,75,"(0, 3076)",0.4326564624358581,12936,296,204.03930521011353,528288
